TBI (n),HC (n),WITHIN NETWORK FINDINGS,RESULT,TBI Class,Severity,Age,Chronicity,Comp Type,Control Type,Scanner,Eyes Open/Closed/Fixated,Scanning parameters (TR),OLD TIME OF SCAN,Duration of scan (s),# of volumes,Preprocessing Software,Global signal regression,Motion regression,White matter regression,CSF regression,,,,,,,,,,,,
12,11,"Tang (2012), New York",Increase conn in mild to severe TBI compared compard to controls DMN,CIVILIAN Diagnosed with concussion at Mt. Sinai,All,"ADULT n=12, nbar 39.6",NOT SPECIFIED?? NO SUPP EITHER,CSX,"HC n=11, nbar =40.1",Philips 3.0  T Achieva,unfound,2000 ms,240 s,240,120,FSL,unfound,unfound,unfound,unfound,"4 minutes, no info on eyes","Preprocessing of the functional images was performed in FSL and included motion correction (MCFLIRT), coregistration to the high resolution T1 images (FLIRT) and nonlinear registration to the standard Montreal Neurological Institute (MNI) template (FNIRT)",FSL (MELODIC?),FC,ICA,DMN (18 unique networks...?),"Group maps showed the default mode network spanning the brain regions that are consistent with the literature (namely, there is increased FC post-concussion in the DMN). we did not find any significant differences in any of the DMN regions as a function of TBI severity.","All participants were assessed using the Brain Injury Screening Questionnaire (BISQ) ,the Beck Depression Inventory (BDI), and the Beck Anxiety Inventory (BAI). The significant correlation of FA with selfreported depression is also consistent with previous reports of abnormal white matter in patients with late life depression",,,,
40,17,"Han (2016) Texas, USA",Decreased within-network FC in DMN,CIVILIAN chronic TBI individuals with upper moderate disability to lower good recovery (6-7 on Extended Glasgow Outcome Scale),Mild,"ADULT n=40, males=29, mean age=31.7",Chronic (>6 mos.),CSX,HC n=17,Philips Achieva 3T,closed,2000 ms,416 s,416,208,AFNI,yes,yes,yes,yes,two 416-s runs; eyes closed,"despiking, slice timing correction, motion correction, normalization to whole brain mode of 1000, band-pass filtering (0.009< f <0.08 Hz), and linear regression.",,,Graph,"DMN, DAN, FPCN","Disruptions in within-network and between-network connectivity for TBI group. DMN-FPCN and DMN-DAN showed marked reductions in TBI group. Most disruptions occurred over long-range connections and in inter-hemispheric connections. Graph-theoretic analysis demonstrated relative reductions in global, local and cost efficiency.",Neuropsychological performance,,,,
25,17,"Arenivas (2014) Dallas, TX",Decreased FC in the DMN,CIVILIAN Hospital patients w/ TAI,Moderate/Severe,"ADULT n=25, mean age=30, 20M",Chronic (6-10mo),CSX,HC n=17,Siemens Trio 3T or GE Signa Excite 3T,fixated,2000 ms,128 volumes,unfound,128,SPM5,yes,yes,yes,yes,"Eyes focused on crosshairs, no thinking during acquisition","coregistration, realignment, segmentation, normalization, smoothing, detrending, temporal filtration",SPM5,connectivity,"whole brain spatial correlation coefficient, network-specific connectedness measure, between-node correlations; reference seed in PCC",DMN,Decreased white matter in chronic TAI affects functional connectivity; 3 analyses used showed DMN functional connectedness can serve as biomarker (intact vs compromised); 3 analyses not associated with clinical outcome measures,"Ex fxn: TMTB, Dodrill Stroop Color-Naming, COWAT, WAIS-III; Memory: CVLT-II; Process speed: TMTA, WAIS-III, Dodrill Stroop Color-Naming",DMN functional connectedness compromised following mod-sev TAI; degree can be measured using 3 novel analyses utilizedl; may not have clinical implications,,,
15,14,"Dailey (2018) AZ, USA",No diff in DMN for any of ROIs,CIVILIAN mTBI in the chronic phase of recovery,Mild,"ADULT n=17, age = 21.86 (2.79), 11 females",Chronic (>6 mos),CSX,HC n=17,3.0-Tesla Siemens Skyra scanner,fixated,2000 ms,300 volumes,unfound,300,SPM12,no,no,no,no,"""fixate on a cross in the middle of the screen"", repetition time= 2000 ms, echo
time= 25 ms","motion correction with realignment, slice timing correction using the middle slice as the reference slice, coregistration of functional scans to anatomical scans, forward deformation normalization (isotropic voxel size=3× 3 ×3 mm), and smoothing using a Gaussian kernel (full-width at half maximum =5 mm)","SPM12, CONN",connectivity,ROI to ROI,DMN (9 ROIs from Shirer et al.),"Increased connectivity between the right hippocampus and midcingulate cortex was associated with elevated aggression in adults with mTBI, but not in healthy controls. No DMN connectivity differences between TBI and healthy groups.","agression measured with the Buss–Perry
Aggression Questionnaire ","altered DMN function could promote aggression through reduced emotional awareness. However, it is important to note that we found increased DMN connectivity with higher aggression. In fact, the relationship we observed within the mTBI group more closely resembles the greater DMN engagement that has been previously associated with depressive rumination",,,
20,17,"Palacios (2013) Barcelona, Spain","Increased DMN FC (using ICA) in the anterior cingulate, frontal pole regions (mainly dmPFC), paracingulate gyrus, and superior frontal gyrus",CIVILIAN Patients from he Head Injury Unit of the Guttmann Institute–Neurorehabilitation Hospital --> Motor Vehicle accidents,Moderate/Severe,"ADULT n=20, 11 male, 9 female, mean age: 27.5 (Average GCS 5)",Chronic (mean 4 years since injury),CSX,"HC n=17, 10 male, 7 female, mean age: 26.29","Siemens Magnetom Trio Tim syngo
3-T system",unfound,2000 ms,300 s,300,150,FSL and AFNI,unfound,unfound,unfound,unfound,"5- minute fMRI resting-state, single-shot, gradient-echo, echo-planar imaging sequence",All the images were visually inspected to ensure that they did not contain MRI artifacts or excessive movement before analysis --> transformed into MNI space by means of linear regression,FSL,"alff, (average) FC","ROI to ROI, ICA, Seed-Based, Tractography Spatial Maps","DMN: medial prefrontal cortex (MPFC),
precuneus/posterior cingulate (PPC), and left and right parietal cortices",Higher ALFF at rest is correlated with better cognitive performance; patients had increased FC in regions surrounding DMN which could be explained by damage to cingulum,"Letter-number sequencing; digit span test (forward and backward measures); Trail Making Test (parts A and B); the Rey Auditory Verbal Learning Test; theRey-Osterrieth complex figure; reading, color naming, and readingword-color conditions from the Stroop test; measures of verbal semantic and phonemic fluency. --> Factor analysis was used to obtain a singlemeasure that was representative of overall cognitive outcome --> amplitude of resting-state fluctuations was positively correlated with cognitive performance AND functional connectivity scores for the frontal ROI were negatively correlated with the FA values of the cingulum tract",suggest that the loss of structural connectivity is compensated for by an increase in the functional connectivity of local circuits;  suggest that functional and efficient brain reorganizationoccurred tocompensate for acutebraindamage and improve cognitive performance,,,
,,,"Increased DM FC (using seed-based) in the mPFC (mPFC-angular gyrus, mPFC-precuneus) and parietal regions",,,,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,
22,18,"Venkatesan (2015), PN, USA",Increased FC of PCC to vmPFC and lateral parietal corticies (DMN),CIVILIAN patients with moderate to severe TBI; GCS < 13,Moderate/Severe,"ADULT CSX: n=22, mean age = 34.05, 14M; Long: n=13, mean age = 27.08, 9M","Chronic (2 yr avg, .5yr-5.67yrs)","CSX, Long",HC n=18,Siemens 3T or Philips 3T,fixated,2000 ms,150-180 volumes,unfound,150-180,SPM8,no,yes,yes,yes,"5-6 min, no eye directions listed","realignment of functional volumes to the first functional image of the series by affine transformation, normalized, and smoothed",SPM 8,connectivity,ROI to ROI,"DMN using ROIs from PCC, Left and Right Hippocampi; ROIs selected within CONN Toolbox","[CSX]: (1) TBI group had greater synchrony of PCC with the vmPFC, (2) greater synchrony b/w hippocampi and other medial temporal, subcortical, and brainstem regions, (3) decreased antiphase synchrony b/w left HC and distributed task-related regions (e.g. dlPFC), (4) increased antiphase synchrony b/w PCC and posterior attentional network areas. [LONG]: from subacute to chronic phases, (1) hypersynchcrony b/w hippocampi and proximal temporal and subcortical areas evident in the chronic phase, (2) losses in antiphase synchrony of hippocampi with dlPFC, (3) diminished PCC synchrony w/ anterior DMN and increased PCC synchrony with TPN regions",Attentional composite scores,"In clinically stable phase of TBI, connectivity between and within critical networks are altered, with these alterations not being uniform, but region specific.",,,
23,18,"Zhou (2012) New York, NY",Decrease FC btw PCC and parietal regions (within DMN),"CIVILIAN MTBI patients who had posttraumatic symptoms shortly after injury (,2 months)",Mild,"ADULT n=23, 17 males, 37.8 years +- 12.9",Acute/Subacute (3-53 days),CSX,"HC n=18, 32.6 years +- 10",Siemens Tim Trio 3T,closed,2000 ms,306 s,306,153,"FMRIB, RSL, AFNI",yes,yes,yes,yes,"5 minutes 6 seconds, eyes closed","realignment, spatial Gaussian smoothing with full width at half maximum (6 mm), band-pass temporal filtering of 0.005–0.100 Hz, coregistration to magnetization-prepared rapid gradientecho imaging and removal of nuisance signals (motion parameters, global signal, and signals derived from cerebrospinal fluid and white matter), and transformation to MNI standard space.",FMRIB and AFNI,FC,"ICA, Seed-based",DMN: seeds - PCC and MPFC,TBI Group:  significantly reduced connectivity in the PCC and parietal regions and increased frontal connectivity around the MPFC. These frontoposterior opposing changes within the DMN were significantly correlated,"The reduced posterior connectivity correlated positively with neurocognitive dysfunction (eg, cognitive flexibility), while the increased frontal connectivity correlated negatively with posttraumatic symptoms (ie, depression, anxiety, fatigue, and postconcussion syndrome).",,,,
,,,Inceased FC in frontal regions (mPFC),,,,Acute/Subacute (3-53 days),,,,,,,,,,,,,,,,,,,,,,,,,
20,20,"Zhang (2017) Shanghai, China",Decreased FC in both intra- and cross- hemispheric PCC-TPJ resting state funtional connectivity in TBI group (DMN),CIVILIAN bilateral frontal injury cases,All,"ADULT n=23, 6 females, mean age 43 (Severity: GCS 7-15)",Subacute/Chronic (20-361 days),CSX,"HC n=20, 7 females, mean age: 33.6",Siemens Magnetom Verio 3.0 T,unfound,2000 ms,unfound,unfound,unfound,AFNI,no,yes,yes,yes,NA,"The preprocessing steps included head motion correction25, slice timing correction, spatially smoothing with a 6mm full-width at half-minimum (FWHM) isotropic Gaussian kernel and temporal normalization",AFNI,FC,seed-based,DMN: PCC & TPJ,significantly decreased resting state PCC-TPJ FC was observed in the frontal lesion patients compared with the healthy subjects,"a significant correlation between the cross-hemispheric PCC-TPJ FC and the level of consciousness was observed, whereas such a correlation was not observed for the intra-hemispheric PCC-TPJ FC",,,,
21,21,"Rigon (2016) IA, USA",Increased FC within DMN of bilateral precuneus and PCC,CIVILIAN chronic mild-to-severe TBI patients,All,"ADULT n=21, mean age = 51.76, 11M",Chronic (at least 8.6mo),CSX,HC n=21,Siemens Magneto TIM Trio 3T,closed,2000 ms,360 s,360,180,FSL,yes,yes,yes,yes,"6min, eyes closed","motion correction, spatial smoothing",FMRIB Software Library - FSL 5.0.4,connectivity,Seed-based,"Fronto-parietal network (FPN), DMN, Executive control network, SMN; Harvard-Oxford Cortical and
Subcortical Structural Atlases in the FSL analysis package","(1) Significantly less inter-hemispheric FC in TBI patients for EONs (FPN and ECN), but not for the DMN and the SMN. (2) Performance on a neuropsychological test positively correlated with FC between
the right FPN and homologous regions",Neuropsych performance (ROCFT),,,,
21,21,"Guo (2019), China","Decreased FC (of both patient types) in the left medial prefrontal cortex, dorsolateral prefrontal gyrus, bilateral posterior cingulate gyrus, frontal pole, middle frontal gyrus, anterior cingulate gyrus, caudate nucleus, bilateral medial orbital, superior frontal, gyrus, superior PCC, precuneus (DMN)",CIVILIAN severe craniocerebral injuries in comatose state,Severe,"ADULT n=21,  age: 38.38 +- 10.66, 18 males",Acute (4.38 +/- 1.53 days),CSX,"HC n=21,  age: 38.43 +-10.44",Magnetom Verio 3.0T MRI scanner,unfound,2000 ms,360 s,360,180,MATLAB (DPARSFA 2.3 toolbox [has SPM8] amd REST V1.8]),no,yes,yes,yes,360 seconds,"The original digital imaging and communications in medicine images were converted to 3-dimensional neuroimaging informatics technology initiative images. The covariates of head movement, white matter signal, and cerebrospinal fluid signal were removed from the filtered results prior to FC analysis.","MATLAB, DPARSFA 2.3 toolbox (integrates SPM8)",FC and ALFF,Seed-based (PCC),DMN using the PCC as a seed,"FC: Compared with healthy controls, coma patients with severe craniocerebral injuries showed significantly decreased FC in the left medial prefrontal cortex, dorsolateral prefrontal gyrus, bilateral posterior cingulate gyrus, frontal pole, middle frontal gyrus, anterior cingulate gyrus, caudate nucleus, bilateral medial orbital superior frontal gyrus, superior PCC, precuneus, and bilateral superior occipital gyrus.  ALFF:  coma patients with severe craniocerebral injuries showed significantly decreased ALFF values in the dorsolateral superior frontal gyrus, medial prefrontal cortex, left middle frontal gyrus, anterior cingulate gyrus, left temporal gyrus, posterior cingulate gyrus, precuneus, cuneus, right middle occipital gyrus, right inferior occipital gyrus, and right superior parietal gyrus compared with healthy controls",Prognosis. Severe TBI patients with better prognosis (conscious) saw increased FC and fALFF within DMN compared to coma sTBI.,"Patients with sTBI showed significantly decreased FC and ALFF values in the DMN. However, patients with a better prognosis showed a significant increase in FC and ALFF values in the DMN.",,,
21,27,"Lancaster (2019) NJ, USA",No signficant differences within DMN connectivity (after controlling for MCC) DMN,CIVILIAN moderate or severe TBI due to fall or accidents,Moderate/Severe,"ADULT n=21, age:  41.71 (15.22), 3 females",Chronic (at least 12 months post-injury: 112.47 (97.95)),CSX,"HC n=27, 9 females, age: 38 (13.66)",Siemens Magneton 3T Skyra scanner,closed,2000 ms,360 s,360,180,SPM8,no,no,yes,yes,"6 min, eyes closed","slice-timing correction for interleaved slice acquisition, realignment of the image series to the first functional image, coregistration of functional, and structural images, tissue segmentation, and normalization of images to standard Montreal Neurological Institute (MNI) space using 12-parameter affine transformations and non-linear registration. image smoothing, motion correction",SPM8,FC,ROItoROI,58 DMN ROIs defined a priori from Power et al.’s cortical atlas,"No significant interactions between emotion recognition performance and group membership on DMN connectivity. Within the TBI group, connectivity between dmPFC and parahippocampal gyrus predicted level of social integration on the Community Integration Questionnaire, an important index of post-injury social functioning in TBI.","Level of social integration on the Community Integration Questionnaire. Across both groups, we found that greater frontal-temporal
DMN connectivity (specifically dmPFC-parahipp and dmPFCtemporal pole) was associated with worse performance on an
ecologically valid measure of emotion recognition, the Emotion
Evaluation subtest of the TASIT (32)",indicates that DMN connectivity predicts social functioning independent of emotion recognition.,Focused on social outcomes in individuals with TBI and doesn't tell us much about network connectivity between groups,,
50,43,"Li (2020b) Nanjing, China",Increased FC in right middle frontal gyrus (in DMN) in mTBI.,CIVILIAN ED patients with mTBI,Mild,"ADULT n=50, age: 43.82 (7.88), 26 female",Acute (within 7 days),CSX,"HC n=43, age: 41.65 (7.87), 24 female","3.0 T MRI scanner (Ingenia, Philips)",closed,2000 ms,486 s,486,243,D PABI(?),yes,yes,yes,yes,"8 min and 6 s, eyes closed","slice-timing corrected and calibrated for head motion correction. Participant data demonstrating head movement >2.0 mm translation or >2.0° rotation were excluded from
the analysis. The rest of the dataset was spatially normalized to a template from the Montreal Neurological Institute (resampled voxel size = 3×3 × 3 mm3), followed by a 6-mm spatial sequence with a
Gaussian smoothing kernel. Finally, several sources of spurious variances were removed by linear regression, which included six head motion parameters, and average signals from white matter, cerebrospinal fluid, and whole brain.",DPABI_ V4.3_200301,FC,ICA,"Among the 34 components resulting from ICA, selected 13 components (7 nonartifactual RSNs). AN, attention network; CN, cerebellum network; DMN, default mode network; ECN, executive control network; SMN, sensorimotor network; SN, salience network; VN, visual network","WITHIN: Significant differences between the mTBI and HC groups were found within five RSNs, including the SN, DMN, ECN, VN, and CN. mTBI group exhibited decreased FC within the SN (right insula [R_ insula]), ECN (left superior parietal lobe [L_SPL] and left superior frontal gyrus [L_SFG]), VN (right precuneus [R_precuneus]), and CN (right cerebellum anterior lobe [R_CAL]). Moreover, there was increased FC in the right middle frontal gyrus (R_MFG) in the DMN in the mTBI group compared with the HC group. BETWEEN: the mTBI group exhibited significantly decreased negative interactions in three RSN connections, including the SN-CN connection, VN-SMN connection, and ECNDMN connection.","Positive correlation between right insula region within the SN and attention scores. Also the same with the right precuneus within VN and visuospatial/executive scores. Negative correlation was
found between the right MFG within the DMN and language scores.  only the DMN-ECN connection was found to be positively correlated with attention scores and language scores.",,,,
47,47,"Vergara (2017) NM, USA",Increased FC within DMN (left angular gyrus and posterior precuneus),CIVILIAN mTBI emergency room patients,Mild,"ADULT  n=50, 25 females, mean age 27.9 ± 9.2",Subacute (probably - within 21 days of injury),CSX,HC n=50,3 Tesla Siemens Trio,fixated,2000 ms,300 s,300,150,SPM,no,yes,no,no,"5-min, stare at cross","Data were pre-processed using statistical parametric mapping34 (http://www.fil.ion.ucl.ac.uk/spm) including slice-timing correction, realignment, co-registration, spatial normalization, and then transformed to the Montreal Neurological Institute standard space at a resolution of a 3 · 3 · 3 mm3 . Despiking consisted of the orthogonalization with respect to spike regressors. Each spike is represented by an independent regressor valued one at the spike time point and zero everywhere else. The DVARS method35 was used to find spike regressors where the root mean square exceeded three standard deviations. Time courses were also orthogonalized with respect to the following: (1) linear, quadratic, and cubic trends; (2) the six realignment parameters; (",SPM,FC,gICA,"43 non-artifactual RSNs from ICA. 10 groups: subcortical, auditory, sensorimotor, cerebellum, visual, salience, executive control, default mode network (DMN), precuneus and language","TBI group demonstrated increased connectivity between DMN (left angular gyrus) and posterior precuneus. Also, significant increase in rsFNC between cerebellum versus sensorimotor networks and between left angular gyrus versus precuneus.",NA,,re-analysis of published data,,
13,50,"Vakhtin (2016) Albuquerque, NM",Decreased FC in tempo-parietal junction and left inferior lobe (within DMN),MILITARY veterans with blast related mTBI,Mild,"ADULT n = 34.3 ±6.6 years, male",NOT SPECIFIED?? NO SUPP EITHER,CSX,"HC healthy military controls n = 50, 29.7 ±8.4 yrs, male (control from Allen (2011))",3-Tesla Siemens Trio,fixated,2000 ms,334 s,334,167,Look at paper + GIFT,unfound,unfound,unfound,unfound,"5m 34s, eyes open on cross",same as Allen (2011),same as Allen (2011),"FC mostly. Specifically.. 3 fMRI domains: blood oxygenation level-dependent spatial maps, time course spectra, and functional connectivity",ICA  (GIFT software),"28 networks across brain (6 sensorimotor, 6 attention, 6 visual, 4 frontal, 4 default-mode (DMN), auditory, and the basal ganglia networks.)","The mTBI group exhibited hyperactivity in the temporo-parietal junctions and hypoactivity in the left inferior temporal gyrus. Abnormal frequencies in default-mode (DMN), sensorimotor, attentional, and frontal networks were detected. Functional connectivity was disrupted (aka decreased) in 6 network pairs: DMN-basal ganglia, attention-sensorimotor, frontal-DMN, attention-sensorimotor, attention-frontal, and sensorimotor-sensorimotor.","The following neuropsychological tests were administered to the TBI subjects by a trained neuropsychologist: California Verbal Learning Test II (CVLT-II) [25], Wisconsin Card Sorting Test (WCST) [26], Neurobehavioural Symptom Inventory (NSI) [27], Beck Depression Inventory II (BDI-II) [28], Digit Span (DS), Digit Symbol Test, Trail Making Test A (numbers only; TMT-A), Trail Making Test B (numbers and letters; TMT-B), Paced Auditory Serial Addition Test (PASAT), Wechsler Test of Adult Reading (WTAR), Controlled Oral Word Association Test (COWAT), and Stroop Test (ST) [29]. ""Neurobehavioural Symptom Inventory and Beck Depression Inventory II data classified the mTBI group as having moderate-to-severe post-concussive symptoms and moderate depression, respectively"" + impairment on cognitive processes such as attention and processing speed.",The results suggest white matter disruption across certain attentional networks and that the temporo-parietal junctions may be compensating for damage in other cortical regions.,purely blast wave encounters for the injuries,,
21,23,"Grossner (2019), Pennsylvania, USA",No significant intranetwork DMN (anterior/posterior) differences.,CIVILIAN (i think) moderate to severe TBI individuals,Moderate/Severe,"ADULT n=21, MAge: 32.9, 12 Males","Subacute/Chronic (mean 49.9 months, 2mo-22years)",CSX,"HC n=23, Mage: 36.9","2: Philips Achieve 3T scanner or a Siemens
Magnetom Trio 3T scanner",fixated,2000 ms,600 s,600,300,SPM8,no,no,yes,yes,"10 mins, fixate on a white
cross in the center of a black screen and asked to remain awake","All preprocessing steps used SPM8. Using ArtRepair, bad slices were repaired using the art-slice procedure. Volumes were then slice-time corrected and realigned. Despiking eliminated artifacts using ArtRepair’s despike filter. Coregistration was done in SPM8 using each participant’s T1-weighted image and the mean functional image. This coregistered image was segmented in SPM8 to normalize the image into the Montreal Neurological Institute (MNI) space. These images were then resliced to 3 mm isotropic. To improve signal-to-noise ratio and reduce effects of anatomical differences, we applied a 6-mm isotropic smoothing filter to the normalized data. To address artifactual signal, time series from cerebrospinal fluid and cerebral white matter was sampled, averaged, and treated as regressors of no interest. The time series was then bandpass filtered from 0.01 to 0.12 Hz using the functional connectivity toolbox (CONN; https://www.nitrc.org/ projects/conn). Finally, as a step to address framewise motion, volume repair was performed using ArtRepair, and individuals with movement presented in greater than 20% of volumes were removed from the analysis.",SPM8,within and between network functional connectivity,Graph,"First used a functionally defined atlas (Power et al., 2011) to define 264 regions of interest (ROIs) in the brain. From these regions, six subsystem networks were created, including two DMN networks (anterior and posterior), the attention network, the salience network, the frontoparietal control network, and a “residual” network.",TBI Group had signifantly higher intranetwork connectivity of attention network.,"Metacognitive accuracy: Significant interaction between head injury status and internetwork connectivity between the anterior DMN and salience network on metacognitive accuracy. significant interaction between head injury status and
internetwork connectivity between the posterior DMN and salience network on metacognitive accuracy. For all
significant interactions, there were positive correlations for the relationship between connectivity and metacognitive accuracy in the TBI
group but negative slopes in the HC group.",Enhanced connectivity to both anterior and posterior regions within the DMN facilitates metacognitive accuracy postinjury. These findings are integrated into a larger literature examining network plasticity in TBI.,,,
47,30,"Hou (2019) Malvern, PA",No signficant differences in the DMN,CIVILIAN recruited from the R Adams Cowley Shock Trauma Center at the University of Maryland Medical Cente,Mild,"ADULT Forty-seven mTBI patients (41.7 ± 17.3 years, 34 M/13 F)","Acute/Subacute (mean 7 days, 0-10 days)",CSX (Longitudinal Symptom Follow up found that that conn differences were associated with worse outcome),"HC Thirty neurologically intact subjects (40.2 ± 18.4 years, 18 M/12 F)",Siemens Tim-Trio 3T MRI scanner,closed,2000 ms,342 s,342,171,AFNI,no,yes,yes,yes,"Eyes closed, resting.       ""For the resting state functional MRI (fMRI) scan, T2*-weighted images were acquired using a single-shot echo-planar imaging sequence (TE = 30 msec, TR = 2000 msec, FOV = 230 mm, resolution = 64 × 64) with 36 axial slices (slices thickness = 4 mm) over 5 min 42 sec that yielded 171 volumes after discarding the first three volumes to minimize steady state effects.""","Slice timing correction, registration of all 171 volumes to first time series volume, ""normalization to percent signal change, spatial smoothing (6 mm Gaussian Kernel), and band pass filtering (0.00 5Hz < f < 0.1 Hz). "" "" Resting state BOLD data was spatially normalized to Talairach space using the transformation matrix from the registration of the T1-MPRAGE to the TT_N27 Talairach template within AFNI (Talairach and Tournoux, 1988). Resting state BOLD data was spatially resampled to 2mm isotropic resolution.""",AFNI,static + dynamic functional connectivity,"ICA -> graph (shortest path SP, clustering coefficient CC, average weight of minimum spanning trees MST","Global, + sub-networks (not listed)","Post-hoc t-tests revealed that PCS+ patients have larger MST compared to both the HC population (p = 0.014) and the PCS− patients (p = 0.019).   ""Specifically, PCS+ patients have larger static MST and SP compared to both the controls and PCS− patients."" ""mTBI patients with chronic symptoms have slower dynamic functional connectivity as evidenced by a reduced dynamic SP and dynamic CC compared to the control group and PCS− patients (Fig. 5 and Table 3).""",,,Interesting... dynamic FC as measured through rsfMRI may provide some insight into the brain connectivity changes that cause such profound effects in TBI patients during task based MRI. Perhaps more studies into dynamic FC at rest would bolster rsfMRI as a diagnostic tool.,,
16,13,"Orr (2016) Vermont, USA",Increased connectivity in posterior DMN (superior medial gyrus) regions,SPORTS young adult ice hockey players with a remote history of concussion,Mild,"MIXED n=16, all males, age: 14-23","Chronic (at least 3 mo post-injury, mean 40.6)",CSX,ISC hockey player control n=13,Philips Achieva 3 Tesla scanner,unfound,2000 ms,600 s,600,300,"AFNI, FSL",no,yes,yes,yes,10-min; NA for eyes,"motion correction, exclusion of nonbrain voxels, despiking, mean based intensity normalization (in 4D), and coregistration of functional and anatomical images. The time series at each voxel was prepared by band pass temporal filtering (0.01–0.1 Hz), spatial smoothing using a 6 mm FWHM Gaussian kernel, and nuisance signal regression (six motion parameters, signal from WM and cerebrospinal fluid, and the linear and quadratic trends).",AFNI and FSL,FC,ICA then seed-based,DMN,The superior medial gyrus cluster showed reduced temporal coherence with the DMN for those players with a history of concussion than for those without; and the precuneus cluster for those players with a history of concussion showed increased temporal coherence with the canonical DMN than for those without. The superior medial gyrus cluster showed increased functional connectivity with a cluster in the left inferior frontal gyrus for those athletes with a history of concussion than for those without.,The strength of iFC between the DMN and the superior medial gyrus cluster was inversely correlated with Kr (differences in kurtosis perpendicular to the primary axon) in the genu  and with FA in the ACR,,,,
,,,Decreased connectivity in anterior DMN regions (left precuneus to mid cingulate),,,,"Chronic (at least 3 mo post-injury, mean 40.6)",,,,,,,,,,,,,,,,,,,,,,,,,
14,26,Manning (2017),No difference within DMN connectivity (but did find increase but did not survive MCC),SPORTS Concussed adolescent Bantam hockey placers,Mild,"ADOLESCENT  n = 17, age 13.3 ±0.6 years",Chronic (3 months),CSX + Long,"ISC n = 26, age 13.0 ± 1",not specified,unfound,2500 ms,600 s,600,240,FSL,no,yes,yes,yes,not specified,"Standard pre-processing steps included brain extraction, a high-pass filter (0.01Hz), spatial smoothing with a 5 mm full-width half-maximumgaussian filter, and motion correction using linear image regis-tration relative to the middle volume. Data with excessive motion(.1-mm maximum displacement or.0.5-mm relative meandisplacement) were excluded from further analyses. Preprocessedimages were denoised with single-session independent compo-nent analysis and automatic dimensionality estimation. Compo-nents that were designated as noise (related voxels outside thebrain, within the corticospinal fluid, primarily high-frequencyprofile, or motion artifacts) were regressed from the data. Eachdataset was registered to standard space with a 2-stage affineregistration technique that first registered the low-resolutionfunctional data to the brain-extracted anatomic image and thento a 2-mm isotropic Montreal Neurologic Institute T1-weightedreference image using 12df.",FSL (FMRIB Software Library) 5.0.6,FC,ROItoROI and network organization (graph?),"whole-brain ROItoROI study... +  visual occipital pole, default mode (DMN), sensorimo-tor, executive control, and cerebellar networks (for network reorganization study). + Harvard-Oxford cortical Atlas for 136 regions and Automated Anatomical Labeling atlas for cerebellar regions","(NETWORKS): Significantly increased conn @ 3 months compared to controls in occipital pole visual network and cerebellar network. (CSX)  Compared to 24-72 hours after concussion, significant increase in FC @ 3 months in sensorimotor network and cerebellar network. Increased DMN conn @ 3 months (did not survive Bonferroni correction). no diff found within executive control network or b/t controls and concussion at acute stage in any network.  (ROItoROI): Significant anticorrelations between anterior supramarginal gyrus and areas that mimix DMN (angular gyrus and frontal pole). Increased conn in concussion group between cerebellum and parahippocampal gyrus. @ 3 months, ROItoROI saw increased connectivity compared to control and acute stage concussion groups, complimenting RSN results",FC and diffusion changes persisted beyong return to play (clinical composite scores went back to control levels before RTP),,Note that adolescent brains aren't fully developed so injury may affect the brain more severely than other groups,,
16,12,"Murdaugh (2018) AL, USA","Decreased within DMN FC at time point 1 in the right inferior frontal gyrus, middle frontal gyrus, middle temporal gyrus,  and posterior cingulate.",SPORTS High-school football players with SRC,Mild,"ADOLESCENTn=16, age: 15.99 (1.18), all male",Acute (within 7 days of injury),CSX + Long,"ISC n=12, age: 15.77 (1.23), all males",Siemens 3.0 Tesla Trio,unfound,2130 ms,192 volumes,unfound,192,SPM12,unfound,unfound,unfound,unfound,7 min; no info on eyes,"Slice-timing correction was applied to the data. Images were then motion corrected, spatially normalized to standard MNI brain space, and spatially smoothed using a 3D Gaussian kernel of 8 mm full-width half-maximum (FWHM). The normalized and smoothed images were then low bandpass filtered to between 0.008 and 0.08 Hz.",SPM12,FC,Group ICA,"DMN:  medial prefrontal cortex, ventral anterior cingulate cortex, posterior cingulate cortex, inferior parietal lobules, angular guyrus, and precuneus","Reduced functional connectivity in the SRC group compared to the control group (control> SRC) in the right inferior frontal gyrus (IFG), middle frontal gyrus (MFG), middle temporal gyrus (MTG), and posterior cingulate. Hyperconnectivity in the SRC group (SRC<control)
was predominately seen in posterior regions, including left cerebellum and precuneus, and right middle occipital gyrus (MOG).. Assessment of the SRC group at time 1 (acute phase of SRC) compared to time 2 (when SRC symptoms should be resolved), revealed greater functional connectivity in the DMN components at time 1 compared to time 2 within the right IFG, MTG, precentral gyrus, and angular gyrus (AG), and left lingual gyrus, MFG, and middle cingulate gyrus (MCG).",Performance on the ImPACT (visual/verbal memory composites) was correlated with resting state network connectivity at both time points,Acute effects of SRC are associated with both hyperconnectivity and hypoconnectivity,,,HH
,,,Increased within DMN FC at time point 1 in the precuneus,,,,Acute (within 7 days of injury),,,,,,,,,,,,,,,,,,,,,,,,,
,,,No diff within network DMN connectivity at time point 2,,,,Subacute (21 days after inital imaging),,,,,,,,,,,,,,,,,,,,,,,,,
